Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Myanmar,MMR,AP,29,130,4.212792,7,22.09102,35.90898,,,20.87696,19.79276,,22.45197,,,32.41864,52.12553,26.78049,,28.39456
Togo,TGO,SSA,29,130,2.4049,7,25.05597,32.94403,23.90787,,24.86647,,,34.50329,,,32.41864,19.5723,35.11188,,34.68251
Dominican Republic,DOM,AME,28,137,2.699341,7,23.57308,32.42692,,,28.85599,37.26319,,22.45197,,,32.41864,15.23187,,30.47454,28.39456
Kenya,KEN,SSA,28,137,2.167752,9,24.44489,31.55511,26.5125,,32.8455,19.79276,,34.50329,,,36.07633,21.74251,35.11188,24.33682,22.10661
Lebanon,LBN,MENA,28,137,2.271487,7,24.27476,31.72524,,,20.87696,37.26319,,22.45197,,,23.70985,28.25316,,31.87744,31.98768
Liberia,LBR,SSA,28,137,2.667331,7,23.62558,32.37442,34.17318,,36.83502,,,22.45197,,,32.41864,18.12549,26.78049,,22.10661
Mauritania,MRT,SSA,28,137,2.729102,6,23.52427,32.47573,26.5125,,28.85599,,,34.50329,,,,16.67868,35.11188,,28.39456
Papua New Guinea,PNG,AP,28,137,2.379799,6,24.09713,31.90287,,,28.85599,19.79276,,22.45197,,,32.41864,28.97656,35.11188,,
Paraguay,PRY,AME,28,137,2.835402,6,23.34994,32.65006,,,32.8455,37.26319,,22.45197,,,32.41864,24.63613,,19.60202,
Russia,RUS,ECA,28,137,2.476439,9,23.93864,32.06136,,,28.85599,19.79276,23.71598,22.45197,37.02868,,23.70985,21.01911,,38.19052,36.47907
Uganda,UGA,SSA,28,137,2.035011,9,24.66258,31.33742,29.11713,,32.8455,37.26319,,22.45197,,,23.70985,31.14678,26.78049,28.89627,16.71694
Angola,AGO,SSA,26,146,1.821627,7,23.01253,28.98747,,,28.85599,19.79276,,22.45197,,,29.45765,31.87019,,20.12811,26.59801
Bangladesh,BGD,AP,26,146,2.617282,8,21.70766,30.29234,,,24.86647,19.79276,,22.45197,,,41.12743,17.40208,26.78049,31.17599,27.49628
Guatemala,GTM,AME,26,146,2.231707,7,22.34,29.66,,,24.86647,19.79276,,22.45197,,,32.41864,18.12549,,32.05281,30.19112
Honduras,HND,AME,26,146,3.254164,7,20.66317,31.33683,,,20.87696,19.79276,,22.45197,,,41.12743,18.84889,35.11188,,23.90317
Iran,IRN,MENA,26,146,3.626302,7,20.05286,31.94714,,,12.89792,19.79276,,34.50329,,,23.70985,23.18933,,28.37018,41.86874
Mozambique,MOZ,SSA,26,146,2.977371,9,21.11711,30.88289,11.19116,,24.86647,19.79276,,34.50329,,,32.41864,39.10423,26.78049,16.44548,27.49628
Nigeria,NGA,SSA,26,146,1.868129,8,22.93627,29.06373,,,32.8455,19.79276,,22.45197,,,23.70985,23.91273,35.11188,23.81074,25.69973
Cameroon,CMR,SSA,25,153,2.424488,9,21.02384,28.97616,34.17318,,28.85599,19.79276,,34.50329,,,23.70985,11.61484,26.78049,25.91509,20.31005
Central African Republic,CAF,SSA,25,153,1.428002,5,22.65808,27.34192,23.90787,,28.85599,,,22.45197,,,,21.01911,26.78049,,
